A,Verb,B,Count
conductive layer,space,semiconductor layer,1
semiconductor layer,extend,second electrode layer,1
second electrode layer,provide,conductive layer,1
semiconductor base,locate,conductive layer,1
semiconductor layer,extend,second,1
second,wherein,semiconductor base,1
semiconductor base,have,semiconductor layer,1
semiconductor base,extend,semiconductor layer,1
semiconductor base,connect,semiconductor layer,1
functional circuitry,have,interconnected transistors,1
interconnected transistors,include,dielectric layer,1
metal stack,include,capacitor dielectric layer,1
capacitor top plate,be,capacitor dielectric layer,1
capacitor top plate,form,capacitor dielectric layer,1
semiconductor arrangement,include,gate dielectric layer,1
semiconductor arrangement,form,gate dielectric layer,1
first gate mask,be,gate electrode layer,1
first gate mask,form,gate electrode layer,1
gate electrode layer,be,first gate mask,1
gate electrode layer,etch,first gate mask,1
gate electrode layer,use,first gate mask,1
first gate mask,form,first,1
first dopant,be,semiconductor layer,1
first dopant,implant,semiconductor layer,1
semiconductor layer,use,first gate mask,1
first gate mask,form,first doped region,1
semiconductor device,include,graphene layer,1
graphene layer,be,semiconductor,1
graphene layer,grow,semiconductor,1
bottom surface,remove,d,1
d,oped,region,1
nanosheet transistor device,have,reduced access resistance,1
reduced access resistance,be,channel,1
reduced access resistance,fabricate,channel,1
reduced access resistance,recess,channel,1
reduced access resistance,replace,channel,1
epit,grow,regions,1
sacrificial semiconductor layers,be,gate metal layers,1
sacrificial semiconductor layers,replace,gate metal layers,1
fin structure,be,isolation structure,1
fin structure,embed,isolation structure,1
epitaxial structure,form,fin,1
fin structure,be,top surface,1
nitrogen dopant,be,icon layer,1
nitrogen dopant,form,icon layer,1
nitride layer,form,floating gate,1
second pitch reference component,form,first pillar magnetic tunnel junction,1
first pillar magnetic tunnel junction,wherein,reference pitch distance,1
first pillar magnetic tunnel junction,be,reference pitch distance,1
first pillar magnetic tunnel junction,coordinate,reference pitch distance,1
first pillar magnetic tunnel junction,base,reference pitch distance,1
first pitch reference component,be,second pitch reference component,1
first pitch reference component,couple,second pitch reference component,1
reference component size,be,lithographic processing dimension,1
reference component size,base,lithographic processing dimension,1
substrate processing method,include,rinse liquid supplying step,1
rinse liquid supplying step,supply,major surface,1
rinse liquid supplying step,contain,major surface,1
rotating step,rotate,rotation axis,1
rotation axis,pass,major surface,1
hydrophobizing agent supplying step,supply,hydrophobizing agent,1
hydrophobizing agent,contain,first dissolving agent,1
major surface,hydrophobizing,rotating step,1
rotating step,supply,hydrophobizing agent,1
rotating step,be,hydrophobizing agent,1
rotating step,perform,hydrophobizing agent,1
hydrophobizing agent,supply,hydrophobizing agent dis,1
hydrophobizing agent,include,hydrophobizing agent dis,1
hydrophobizing agent dis,charge,agent,1
hydrophobizing agent dis,discharge,agent,1
major surface,hold,substrate holding unit,1
liquid medium,include,elongated chamber,1
plane,dissect,tube element,1
slit shaped outlet opening,form,tube element,1
control unit,cut,cutting apparatus,1
control unit,need,cutting apparatus,1
cutting apparatus,cause,carrying unit,1
cutting apparatus,cut,carrying unit,1
cutting apparatus,be,carrying unit,1
cutting apparatus,carry,carrying unit,1
first suction line,couple,momentum vacuum assembly,1
combined chuck table mechanism,include,chuck table,1
electrostatic attraction section,have,chuck table,1
electrostatic attraction section,provide,chuck table,1
chuck table,charge,holding surface,1
vacuum suction section,have,porous portion,1
combined chuck table mechanism,include,control unit,1
LED wafer processing method,include,dividing step,1
dividing step,mount,holding table,1
dividing step,cut,holding table,1
dividing step,have,holding table,1
dividing step,hold,holding table,1
holding table,cut,division line,1
dividing step,move,holding table,1
holding table,thereby,division line,1
holding table,polish,division line,1
holding table,form,division line,1
continuous carrier web,have,data carrier supply device,1
carrier web positioning device,wherein,drive roller,1
carrier web positioning device,have,drive roller,1
deflector,arrange,carrying belt,1
carrying belt,run,drive roller,1
deflector,wherein,carrying,1
carrying,have,transport path,1
carrying,say,transport path,1
carrying,wherein,transport path,1
carrying,form,transport path,1
transport path,be,suction box,1
transport path,connect,suction box,1
suction box,arrange,pressure,1
suction box,data,pressure,1
suction box,locate,pressure,1
suction box,draw,pressure,1
suction box,carry,pressure,1
pressure,wherein,negative pressure,1
pressure,have,negative pressure,1
pressure,provide,negative pressure,1
pressure,connect,negative pressure,1
colloidal silica,and/or,copolymer,1
semiconductor element,comprise,insulating film,1
semiconductor element,polish,insulating film,1
insulating film,be,conductive pattern,1
insulating film,form,conductive pattern,1
insulating film,embed,conductive pattern,1
conductive pattern,form,polishing slurry composition,1
polishing slurry composition,comprise,polishing agent,1
polishing agent,include,polishing additive composition,1
polishing agent,polish,polishing additive composition,1
polishing additive composition,comprise,dialkyldiallylammonium halide,1
pH adjuster,remove,insulating film,1
pH adjuster,involve,insulating film,1
mother particle,contain,amorphous silica,1
child particle,contain,crystalline ceria,1
crystalline phase,be,crystalline ceria,1
crystalline phase,detect,crystalline ceria,1
crystalline phase,subject,crystalline ceria,1
crystalline ceria,have,crystallite diameter,1
alkaline wet solution,protect,patterned substrate,1
substrate processing method,use,alkaline wet solution,1
patterned substrate,contain,metal oxide feature,1
etch residue,perform,patterned substrate,1
etch residue,expose,patterned substrate,1
alkaline wet solution,contain,silica,1
alkaline wet solution,dissolve,silica,1
silica,perform,wet cleaning process,1
wet cleaning process,remove,etch residue,1
metal oxide,be,protective coating,1
metal oxide,protect,protective coating,1
patterned substrate,include,metallization layer,1
alkaline wet solution,contain,metallization layer,1
alkaline wet solution,protect,metallization layer,1
metallization layer,etch,alkaline wet solution,1
pressurizing gas feed,provide,flow controller,1
substrate inspection device,include,holding member,1
holding member,configure,probe card,1
holding member,hold,probe card,1
probe card,configure,inspection chamber,1
probe card,place,inspection chamber,1
probe card,move,holding member,1
sealed space,be,holding member,1
sealed space,form,holding member,1
probe card,be,sealed space,1
probe card,maintain,sealed space,1
probe card,decompress,sealed space,1
gas introduction path,be,inspection chamber,1
gas introduction path,provide,inspection chamber,1
inspection chamber,configure,partitioned space,1
inspection chamber,introduce,partitioned space,1
components 22,be,carrier substrate,1
components 22,produce,carrier substrate,1
components 22,be,active surfaces,1
components 22,design,active surfaces,1
active surfaces,be,etching profile,1
active surfaces,provide,etching profile,1
active surfaces,etch,etching profile,1
stacked arrangement,utilize,shared plumbing module,1
semiconductor manufacturing tool,include,plasma chamber,1
mounting platform,dispose,plasma chamber,1
focus ring,dispose,plasma chamber,1
actuator,couple,focus ring,1
focus ring,be,plasma chamber,1
heat treatment apparatus,include,rotation table,1
rotation table,instal,vacuum container,1
rotation table,mount,mounting area,1
mounting area,form,rotation table,1
plasma processing part,generate,rotation table,1
plasma processing part,be,rotation table,1
plasma processing part,form,rotation table,1
rotation table,process,temperature measurement terminal,1
temperature measurement terminal,instal,rotation table,1
rotation table,be,temperature measurement,1
rotation table,rotate,temperature measurement,1
temperature measurement,output,rotation table,1
conductive plasma shield part,instal,temperature measurement terminal,1
conductive plasma shield part,cover,temperature measurement terminal,1
silicon nitride film,include,amine gas,1
silicon nitride film,support,amine gas,1
silicon nitride film,introduce,amine gas,1
amine gas,establish,silicon nitride film,1
amine gas,expose,silicon nitride film,1
semiconductor device,form,semiconductor patterns,1
semiconductor patterns,be,metal work function pattern,1
metal work function pattern,fill,semiconductor patterns,1
metal work function pattern,include,atomic layer deposition,1
metal work function pattern,perform,atomic layer deposition,1
atomic layer deposition,form,alloy layer,1
alloy layer,include,organoaluminum compound,1
alloy layer,provide,organoaluminum compound,1
alloy layer,contain,organoaluminum compound,1
reflective index,measure,organosilane precursor,1
reflective index,include,organosilane precursor,1
reflective index,supply,organosilane precursor,1
reaction space,place,unsaturated bond,1
reaction space,have,unsaturated bond,1
reaction space,include,unsaturated bond,1
unsaturated bond,supply,reaction space,1
